M,N,total_satellites,inclination,phase_factor,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,2048,57.5,13,0.9988611111111111,0.31666666666666665,0.99625,0.9680555555555556,3.4468767361111112,2.0,False
32,64,2048,57.5,15,0.9988229166666667,0.31666666666666665,0.99625,0.9680555555555556,3.4468715277777777,2.0,False
32,64,2048,56.5,26,0.9988420138888889,0.31666666666666665,0.99625,0.9666666666666667,3.605984375,4.0,False
32,64,2048,56.5,28,0.9986232638888889,0.31527777777777777,0.99625,0.9652777777777778,3.605994791666667,4.0,False
32,64,2048,54.0,24,0.9989565972222222,0.3138888888888889,0.9975,0.9763888888888889,3.9985902777777778,2.0,False
32,64,2048,55.5,1,0.9975607638888889,0.3125,0.99125,0.9347222222222222,3.7621180555555553,4.0,False
32,64,2048,58.0,23,0.9984722222222222,0.3111111111111111,0.995,0.9722222222222222,3.3890329861111113,2.0,False
32,64,2048,57.0,3,0.9985694444444444,0.30833333333333335,0.995,0.9611111111111111,3.5138975694444445,2.0,False
32,64,2048,55.5,8,0.998796875,0.3055555555555556,0.99625,0.9625,3.7619774305555556,6.0,False
32,64,2048,54.0,27,0.9989670138888889,0.30277777777777776,0.9975,0.9652777777777778,3.999470486111111,4.0,False
32,64,2048,55.5,9,0.998453125,0.30277777777777776,0.99375,0.9652777777777778,3.761736111111111,2.0,False
