satellite_id,plane_id,slot_id,critical_space_time_cells,space_time_coverage_after_failure,full_region_time_coverage_after_failure,minimum_point_time_coverage_after_failure,worst_instantaneous_area_coverage_after_failure,maximum_full_region_outage_minutes,pass_full_region_99,pass_minimum_point_99,pass_both_99
293,6,5,0,1.0,1.0,1.0,1.0,0.0,True,True,True
294,6,6,1,0.9999950760325684,0.9965277777777778,0.9965277777777778,0.9985818973509595,5.0,True,True,True
295,6,7,0,1.0,1.0,1.0,1.0,0.0,True,True,True
296,6,8,0,1.0,1.0,1.0,1.0,0.0,True,True,True
297,6,9,0,1.0,1.0,1.0,1.0,0.0,True,True,True
298,6,10,0,1.0,1.0,1.0,1.0,0.0,True,True,True
299,6,11,0,1.0,1.0,1.0,1.0,0.0,True,True,True
300,6,12,0,1.0,1.0,1.0,1.0,0.0,True,True,True
301,6,13,0,1.0,1.0,1.0,1.0,0.0,True,True,True
302,6,14,0,1.0,1.0,1.0,1.0,0.0,True,True,True
303,6,15,0,1.0,1.0,1.0,1.0,0.0,True,True,True
304,6,16,0,1.0,1.0,1.0,1.0,0.0,True,True,True
305,6,17,0,1.0,1.0,1.0,1.0,0.0,True,True,True
306,6,18,0,1.0,1.0,1.0,1.0,0.0,True,True,True
307,6,19,0,1.0,1.0,1.0,1.0,0.0,True,True,True
308,6,20,0,1.0,1.0,1.0,1.0,0.0,True,True,True
309,6,21,0,1.0,1.0,1.0,1.0,0.0,True,True,True
310,6,22,0,1.0,1.0,1.0,1.0,0.0,True,True,True
311,6,23,0,1.0,1.0,1.0,1.0,0.0,True,True,True
312,6,24,0,1.0,1.0,1.0,1.0,0.0,True,True,True
313,6,25,0,1.0,1.0,1.0,1.0,0.0,True,True,True
314,6,26,0,1.0,1.0,1.0,1.0,0.0,True,True,True
315,6,27,0,1.0,1.0,1.0,1.0,0.0,True,True,True
316,6,28,0,1.0,1.0,1.0,1.0,0.0,True,True,True
317,6,29,0,1.0,1.0,1.0,1.0,0.0,True,True,True
318,6,30,0,1.0,1.0,1.0,1.0,0.0,True,True,True
319,6,31,0,1.0,1.0,1.0,1.0,0.0,True,True,True
320,6,32,0,1.0,1.0,1.0,1.0,0.0,True,True,True
321,6,33,0,1.0,1.0,1.0,1.0,0.0,True,True,True
322,6,34,0,1.0,1.0,1.0,1.0,0.0,True,True,True
323,6,35,0,1.0,1.0,1.0,1.0,0.0,True,True,True
324,6,36,0,1.0,1.0,1.0,1.0,0.0,True,True,True
325,6,37,1,0.9999950910486505,0.9965277777777778,0.9965277777777778,0.9985862219473347,5.0,True,True,True
326,6,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
327,6,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
328,6,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
329,6,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
330,6,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
331,6,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
332,6,44,0,1.0,1.0,1.0,1.0,0.0,True,True,True
333,6,45,0,1.0,1.0,1.0,1.0,0.0,True,True,True
334,6,46,0,1.0,1.0,1.0,1.0,0.0,True,True,True
335,6,47,0,1.0,1.0,1.0,1.0,0.0,True,True,True
336,7,0,0,1.0,1.0,1.0,1.0,0.0,True,True,True
337,7,1,0,1.0,1.0,1.0,1.0,0.0,True,True,True
338,7,2,0,1.0,1.0,1.0,1.0,0.0,True,True,True
339,7,3,0,1.0,1.0,1.0,1.0,0.0,True,True,True
340,7,4,0,1.0,1.0,1.0,1.0,0.0,True,True,True
341,7,5,0,1.0,1.0,1.0,1.0,0.0,True,True,True
342,7,6,0,1.0,1.0,1.0,1.0,0.0,True,True,True
343,7,7,0,1.0,1.0,1.0,1.0,0.0,True,True,True
344,7,8,0,1.0,1.0,1.0,1.0,0.0,True,True,True
345,7,9,0,1.0,1.0,1.0,1.0,0.0,True,True,True
346,7,10,0,1.0,1.0,1.0,1.0,0.0,True,True,True
347,7,11,0,1.0,1.0,1.0,1.0,0.0,True,True,True
348,7,12,0,1.0,1.0,1.0,1.0,0.0,True,True,True
349,7,13,0,1.0,1.0,1.0,1.0,0.0,True,True,True
350,7,14,0,1.0,1.0,1.0,1.0,0.0,True,True,True
351,7,15,0,1.0,1.0,1.0,1.0,0.0,True,True,True
352,7,16,0,1.0,1.0,1.0,1.0,0.0,True,True,True
353,7,17,0,1.0,1.0,1.0,1.0,0.0,True,True,True
354,7,18,0,1.0,1.0,1.0,1.0,0.0,True,True,True
355,7,19,0,1.0,1.0,1.0,1.0,0.0,True,True,True
356,7,20,0,1.0,1.0,1.0,1.0,0.0,True,True,True
357,7,21,0,1.0,1.0,1.0,1.0,0.0,True,True,True
358,7,22,0,1.0,1.0,1.0,1.0,0.0,True,True,True
359,7,23,0,1.0,1.0,1.0,1.0,0.0,True,True,True
360,7,24,0,1.0,1.0,1.0,1.0,0.0,True,True,True
361,7,25,0,1.0,1.0,1.0,1.0,0.0,True,True,True
362,7,26,0,1.0,1.0,1.0,1.0,0.0,True,True,True
363,7,27,0,1.0,1.0,1.0,1.0,0.0,True,True,True
364,7,28,0,1.0,1.0,1.0,1.0,0.0,True,True,True
365,7,29,0,1.0,1.0,1.0,1.0,0.0,True,True,True
366,7,30,0,1.0,1.0,1.0,1.0,0.0,True,True,True
367,7,31,0,1.0,1.0,1.0,1.0,0.0,True,True,True
368,7,32,0,1.0,1.0,1.0,1.0,0.0,True,True,True
369,7,33,0,1.0,1.0,1.0,1.0,0.0,True,True,True
370,7,34,0,1.0,1.0,1.0,1.0,0.0,True,True,True
371,7,35,0,1.0,1.0,1.0,1.0,0.0,True,True,True
372,7,36,0,1.0,1.0,1.0,1.0,0.0,True,True,True
373,7,37,0,1.0,1.0,1.0,1.0,0.0,True,True,True
374,7,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
375,7,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
376,7,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
377,7,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
378,7,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
379,7,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
380,7,44,0,1.0,1.0,1.0,1.0,0.0,True,True,True
381,7,45,0,1.0,1.0,1.0,1.0,0.0,True,True,True
382,7,46,0,1.0,1.0,1.0,1.0,0.0,True,True,True
383,7,47,0,1.0,1.0,1.0,1.0,0.0,True,True,True
